episode_rewards,losses,eps_history
5.0,2.3050382137298584,1.0
10.0,2.049286365509033,0.999802
12.0,1.890353798866272,0.999604
6.0,1.6523082256317139,0.999406
11.0,1.435269832611084,0.999208
15.0,1.3279030323028564,0.99901
13.0,1.1119881868362427,0.998812
5.0,1.0552066564559937,0.998614
4.0,0.8891168236732483,0.998416
5.0,0.8437120914459229,0.998218
15.0,0.6649312973022461,0.99802
13.0,0.6289697885513306,0.997822
14.0,0.5777783989906311,0.997624
5.0,0.5956627130508423,0.997426
13.0,2.703556537628174,0.997228
10.0,2.4547231197357178,0.99703
5.0,2.302694320678711,0.996832
12.0,2.315455198287964,0.996634
8.0,2.1136889457702637,0.996436
6.0,1.9087986946105957,0.996238
17.0,1.69195556640625,0.99604
7.0,1.7247484922409058,0.995842
7.0,1.590851902961731,0.995644
11.0,1.6443778276443481,0.995446
6.0,1.7115095853805542,0.995248
16.0,1.5345438718795776,0.99505
9.0,1.4623944759368896,0.994852
11.0,1.5771410465240479,0.994654
14.0,1.9331291913986206,0.994456
5.0,1.7724345922470093,0.994258
9.0,1.531148910522461,0.99406
24.0,1.5516042709350586,0.993862
11.0,1.4896544218063354,0.993664
6.0,1.4714182615280151,0.993466
5.0,1.2044436931610107,0.993268
21.0,1.2830451726913452,0.99307
5.0,1.2771871089935303,0.992872
6.0,1.0485234260559082,0.9926740000000001
15.0,1.1126558780670166,0.992476
8.0,2.911255359649658,0.992278
15.0,2.8771467208862305,0.99208
6.0,2.7790987491607666,0.991882
11.0,2.582684278488159,0.991684
9.0,2.239252805709839,0.991486
5.0,2.200587749481201,0.991288
9.0,1.8298466205596924,0.99109
7.0,1.4853706359863281,0.990892
11.0,1.5030932426452637,0.990694
8.0,1.3606898784637451,0.990496
14.0,1.660832166671753,0.990298
5.0,1.416673183441162,0.9901
7.0,1.685709834098816,0.989902
11.0,1.3898038864135742,0.989704
5.0,1.6443296670913696,0.989506
6.0,1.4969425201416016,0.989308
7.0,1.6584551334381104,0.98911
9.0,1.206463098526001,0.988912
8.0,1.0787248611450195,0.988714
8.0,1.2171064615249634,0.988516
8.0,1.206233263015747,0.988318
4.0,0.9767120480537415,0.98812
6.0,1.2989933490753174,0.987922
8.0,1.1925268173217773,0.987724
20.0,1.2046608924865723,0.987526
17.0,1.9333140850067139,0.987328
16.0,1.8492650985717773,0.98713
8.0,1.4776543378829956,0.986932
5.0,1.1632133722305298,0.986734
8.0,0.9136244058609009,0.986536
6.0,0.7880898714065552,0.986338
11.0,0.5806559324264526,0.98614
8.0,0.589999258518219,0.985942
26.0,0.7781193852424622,0.985744
7.0,0.8462511897087097,0.985546
12.0,0.8512977361679077,0.985348
8.0,0.8322079181671143,0.98515
13.0,0.8228201270103455,0.984952
11.0,0.7053640484809875,0.984754
4.0,0.5811505317687988,0.984556
12.0,0.5401691794395447,0.984358
10.0,0.4350356459617615,0.98416
11.0,0.4540387690067291,0.983962
6.0,0.6380994319915771,0.983764
20.0,0.5927149653434753,0.983566
4.0,0.4873778820037842,0.983368
12.0,0.46135780215263367,0.98317
5.0,0.5736006498336792,0.982972
12.0,0.4691958427429199,0.982774
8.0,0.42140674591064453,0.982576
5.0,0.9126452207565308,0.982378
9.0,0.8018933534622192,0.98218
20.0,0.46121343970298767,0.981982
6.0,0.22591429948806763,0.981784
7.0,0.1887216717004776,0.981586
7.0,0.3395306169986725,0.981388
19.0,0.40279942750930786,0.98119
17.0,0.5715768337249756,0.980992
11.0,0.4105079174041748,0.980794
42.0,0.30319294333457947,0.980596
11.0,0.13196861743927002,0.980398
6.0,0.08225453644990921,0.9802
14.0,0.1286279857158661,0.980002
14.0,0.18359850347042084,0.979804
46.0,0.23494577407836914,0.979606
10.0,0.23013269901275635,0.9794080000000001
17.0,0.21116890013217926,0.97921
6.0,0.1161760538816452,0.979012
11.0,0.06811511516571045,0.978814
25.0,0.08312079310417175,0.978616
7.0,0.12396982312202454,0.978418
5.0,0.17256109416484833,0.97822
5.0,0.14566479623317719,0.978022
7.0,0.13912969827651978,0.977824
16.0,0.08313199132680893,0.977626
14.0,0.6047112941741943,0.977428
19.0,0.5480352640151978,0.97723
32.0,0.48092254996299744,0.977032
48.0,0.30055201053619385,0.976834
4.0,0.14805755019187927,0.976636
6.0,0.08214400708675385,0.976438
8.0,0.12029100209474564,0.97624
