episode_rewards,losses,eps_history
0.0,0.0012483135797083378,1.0
0.0,0.007997207343578339,0.99999802
1.0,0.007838279940187931,0.99999604
2.0,0.001075598644092679,0.99999406
0.0,0.0012874901294708252,0.99999208
1.0,0.000633717980235815,0.9999901
0.0,0.00021308212308213115,0.99998812
2.0,9.980204049497843e-05,0.99998614
3.0,0.0001411231787642464,0.99998416
2.0,0.0003003200690727681,0.99998218
0.0,0.000336892728228122,0.9999802
1.0,0.0003425450704526156,0.99997822
0.0,0.008062685839831829,0.99997624
0.0,0.0002506707387510687,0.99997426
1.0,0.0004146832216065377,0.99997228
0.0,0.00013787669013254344,0.9999703
1.0,0.007925029844045639,0.99996832
0.0,6.70635054120794e-05,0.99996634
0.0,0.007749510928988457,0.99996436
1.0,0.00024364213459193707,0.99996238
1.0,0.00769243435934186,0.9999604
0.0,0.0003084902709815651,0.99995842
0.0,0.0002856721985153854,0.99995644
2.0,0.00037142616929486394,0.99995446
0.0,0.00013253942597657442,0.99995248
2.0,8.145359606714919e-05,0.9999505
1.0,3.303853009128943e-05,0.99994852
0.0,5.294844231684692e-05,0.99994654
3.0,0.00012595615407917649,0.99994456
2.0,0.00012153360148658976,0.99994258
1.0,0.00013828084047418088,0.9999406
0.0,0.0001784511550795287,0.99993862
0.0,0.00012196000898256898,0.99993664
1.0,0.007973362691700459,0.99993466
1.0,0.00010594956256682053,0.99993268
0.0,0.00017153957742266357,0.9999307
0.0,9.85030346782878e-05,0.99992872
0.0,0.0001105057672248222,0.99992674
1.0,0.0002130676875822246,0.99992476
0.0,5.025036443839781e-05,0.99992278
0.0,5.397060522227548e-05,0.9999208
0.0,7.002180791459978e-05,0.99991882
0.0,4.200894181849435e-05,0.99991684
3.0,0.008192514069378376,0.99991486
0.0,0.007979096844792366,0.99991288
0.0,2.7231679268879816e-05,0.9999109
0.0,7.302343146875501e-05,0.99990892
0.0,0.007394139654934406,0.99990694
0.0,8.803824312053621e-05,0.99990496
1.0,0.007939481176435947,0.99990298
2.0,0.000152275781147182,0.999901
0.0,0.0001948893623193726,0.99989902
1.0,0.00023655836412217468,0.99989704
1.0,0.007808697409927845,0.99989506
0.0,0.00012435889220796525,0.99989308
0.0,9.659507486503571e-05,0.9998911
0.0,0.008016688749194145,0.99988912
1.0,0.00013559332001022995,0.99988714
0.0,0.007781157735735178,0.99988516
0.0,0.00013013351417612284,0.99988318
0.0,0.00014181487495079637,0.9998812
0.0,0.0001042012736434117,0.99987922
0.0,7.734702376183122e-05,0.99987724
0.0,5.79145853407681e-05,0.99987526
1.0,3.299945092294365e-05,0.99987328
0.0,0.007808644324541092,0.9998713
1.0,0.008031725883483887,0.99986932
0.0,0.00010278735135216266,0.99986734
1.0,0.0001439123007003218,0.99986536
3.0,0.00010847282101167366,0.99986338
1.0,0.00023097763187251985,0.9998614
1.0,9.214992314809933e-05,0.99985942
0.0,6.691085582133383e-05,0.99985744
2.0,4.189005994703621e-05,0.99985546
2.0,0.0001032416257658042,0.99985348
0.0,4.6440927690127864e-05,0.9998515
4.0,7.209653267636895e-05,0.99984952
0.0,0.0001026671307045035,0.99984754
1.0,8.698155579622835e-05,0.99984556
2.0,0.007904036901891232,0.99984358
1.0,6.051192758604884e-05,0.9998416
0.0,3.941568866139278e-05,0.99983962
1.0,6.316219514701515e-05,0.99983764
1.0,0.007551987189799547,0.99983566
2.0,9.270922600990161e-05,0.99983368
1.0,9.826322639128193e-05,0.9998317
2.0,0.007496881764382124,0.99982972
0.0,0.00010750427463790402,0.99982774
3.0,0.00011505288421176374,0.99982576
0.0,0.0001375041319988668,0.99982378
0.0,9.458504791837186e-05,0.9998218
0.0,5.918801616644487e-05,0.99981982
0.0,0.007863937877118587,0.99981784
1.0,3.525161082507111e-05,0.99981586
0.0,7.163902773754671e-05,0.99981388
1.0,0.00016802430036477745,0.9998119
2.0,0.007901563309133053,0.99980992
1.0,7.768600335111842e-05,0.99980794
0.0,7.376071880571544e-05,0.99980596
1.0,6.33387389825657e-05,0.99980398
0.0,0.01569066382944584,0.999802
1.0,7.270108471857384e-05,0.99980002
1.0,6.338246021186933e-05,0.99979804
1.0,0.007441279478371143,0.99979606
0.0,0.007926969788968563,0.99979408
1.0,0.00021258850756566972,0.9997921
0.0,0.00014269536768551916,0.99979012
0.0,0.00023011503799352795,0.99978814
0.0,0.007716751657426357,0.99978616
0.0,0.00013012808631174266,0.99978418
0.0,7.358115544775501e-05,0.9997822
0.0,7.494592864532024e-05,0.99978022
1.0,0.007587137166410685,0.99977824
2.0,3.852902591461316e-05,0.99977626
0.0,0.00792275182902813,0.99977428
2.0,8.42925364850089e-05,0.9997723
3.0,0.007887352257966995,0.99977032
0.0,0.00743648037314415,0.99976834
2.0,0.007690949831157923,0.99976636
0.0,0.0001513388124294579,0.99976438
0.0,0.00022290422930382192,0.9997624
1.0,0.00022417698346544057,0.99976042
1.0,0.007322085089981556,0.99975844
0.0,0.00014182526501826942,0.99975646
0.0,0.00010486460087122396,0.99975448
0.0,0.00012194658484077081,0.9997525
0.0,8.744521619519219e-05,0.99975052
2.0,8.136349060805514e-05,0.99974854
0.0,0.008266380988061428,0.99974656
2.0,0.007882671430706978,0.99974458
0.0,0.015335862524807453,0.9997426
0.0,0.00023409246932715178,0.99974062
0.0,0.0003424248134251684,0.99973864
1.0,0.00032098754309117794,0.99973666
1.0,0.008037145249545574,0.99973468
0.0,0.00035875110188499093,0.9997327
0.0,0.0001345019554719329,0.99973072
0.0,8.354023157153279e-05,0.99972874
1.0,8.394187898375094e-05,0.99972676
0.0,0.00017902687250170857,0.99972478
0.0,0.00022042336058802903,0.9997228
0.0,0.00020884981495328248,0.99972082
0.0,0.00018038299458567053,0.99971884
3.0,0.0002298882172908634,0.99971686
0.0,9.840427082963288e-05,0.99971488
0.0,6.625198875553906e-05,0.9997129
0.0,0.0076514254324138165,0.99971092
1.0,9.081864118343219e-05,0.99970894
1.0,0.0001286156621063128,0.99970696
0.0,0.00015300553059205413,0.99970498
0.0,0.0002775123866740614,0.999703
1.0,0.007364035118371248,0.99970102
0.0,0.015759021043777466,0.99969904
0.0,0.00025972755975089967,0.99969706
0.0,0.00017132790526375175,0.99969508
0.0,0.0002726672391872853,0.9996931
1.0,0.000145896032336168,0.99969112
1.0,0.0001018823531921953,0.99968914
0.0,0.007658409420400858,0.99968716
0.0,0.00012975635763723403,0.99968518
0.0,0.014591995626688004,0.9996832
0.0,0.00013648218009620905,0.99968122
0.0,0.0002443199045956135,0.99967924
1.0,0.0002024711575359106,0.99967726
0.0,0.007196757476776838,0.99967528
0.0,0.00017495521751698107,0.9996733
0.0,0.00024872698122635484,0.99967132
0.0,0.00011975545203313231,0.99966934
1.0,0.0001630639162613079,0.99966736
0.0,8.948332106228918e-05,0.99966538
0.0,0.007718377280980349,0.9996634
0.0,0.00010658571409294382,0.99966142
1.0,0.006976900156587362,0.99965944
1.0,0.00019476769375614822,0.99965746
2.0,0.00017122153076343238,0.99965548
1.0,0.00020361694623716176,0.9996535
1.0,0.00020720830070786178,0.99965152
1.0,0.0001527236745459959,0.99964954
1.0,0.0001788343070074916,0.99964756
2.0,0.00012006847828160971,0.99964558
0.0,0.007825962267816067,0.9996436
0.0,8.594553219154477e-05,0.99964162
0.0,0.007828500121831894,0.99963964
0.0,4.808849189430475e-05,0.99963766
0.0,5.3589639719575644e-05,0.99963568
0.0,0.007635623216629028,0.9996337
3.0,9.969215170713142e-05,0.99963172
2.0,0.00018189026741310954,0.99962974
0.0,0.00015923089813441038,0.99962776
0.0,0.0072874994948506355,0.99962578
0.0,0.007784840650856495,0.9996238
1.0,0.0002514151274226606,0.99962182
1.0,0.00025420417659915984,0.99961984
0.0,0.00020305876387283206,0.99961786
0.0,0.0001856883754953742,0.99961588
1.0,5.858956865267828e-05,0.9996139
0.0,5.5300457461271435e-05,0.99961192
0.0,4.9962451157625765e-05,0.99960994
2.0,0.00010566874698270112,0.99960796
2.0,0.00783993024379015,0.99960598
0.0,6.957318692002445e-05,0.999604
0.0,7.942768570501357e-05,0.99960202
1.0,2.9835071472916752e-05,0.99960004
2.0,7.558686047559604e-05,0.99959806
2.0,6.253257015487179e-05,0.99959608
2.0,0.015363745391368866,0.9995941
1.0,7.694457599427551e-05,0.99959212
0.0,0.00013077977928332984,0.99959014
0.0,0.0074747842736542225,0.99958816
0.0,0.00013905586092732847,0.99958618
0.0,0.00016280179261229932,0.9995842
0.0,0.0001305530604440719,0.99958222
3.0,0.00018190615810453892,0.99958024
1.0,0.00010117122292285785,0.99957826
0.0,5.171835800865665e-05,0.99957628
0.0,6.79245131323114e-05,0.9995743
2.0,6.478655996033922e-05,0.99957232
0.0,0.007703510578721762,0.99957034
1.0,0.007874133065342903,0.99956836
2.0,0.007679468020796776,0.99956638
1.0,0.007705821190029383,0.9995644
0.0,3.213614400010556e-05,0.99956242
0.0,7.304226892301813e-05,0.99956044
1.0,0.0001528288994450122,0.99955846
3.0,0.00016074652376119047,0.99955648
0.0,0.00015306823479477316,0.9995545
2.0,0.00020457958453334868,0.99955252
0.0,0.00017427210696041584,0.99955054
3.0,8.657270518597215e-05,0.99954856
2.0,9.960940951714292e-05,0.99954658
1.0,5.371403676690534e-05,0.9995446
2.0,7.943819946376607e-05,0.99954262
1.0,5.9588619478745386e-05,0.99954064
0.0,7.592169276904315e-05,0.99953866
1.0,9.264639811590314e-05,0.99953668
0.0,6.0300746554275975e-05,0.9995347
0.0,8.403465471928939e-05,0.99953272
0.0,5.7910510804504156e-05,0.99953074
0.0,6.597655738005415e-05,0.99952876
1.0,4.589546369970776e-05,0.99952678
2.0,2.3676251657889225e-05,0.9995248
0.0,2.210588354500942e-05,0.99952282
1.0,5.5273827456403524e-05,0.99952084
0.0,0.007582955528050661,0.99951886
0.0,9.301384852733463e-05,0.99951688
0.0,7.192351040430367e-05,0.9995149
0.0,9.758317173691466e-05,0.99951292
2.0,6.256637425394729e-05,0.99951094
0.0,6.549614772666246e-05,0.99950896
0.0,5.34613682248164e-05,0.99950698
0.0,2.4184795620385557e-05,0.999505
0.0,2.228604535048362e-05,0.99950302
0.0,0.007775568403303623,0.99950104
1.0,6.087373913032934e-05,0.99949906
0.0,2.5898678359226324e-05,0.99949708
0.0,6.755226058885455e-05,0.9994951
1.0,2.510488593543414e-05,0.99949312
0.0,5.3680902055930346e-05,0.99949114
0.0,5.8266781707061455e-05,0.99948916
0.0,0.015272949822247028,0.99948718
0.0,6.450129149015993e-05,0.9994852
0.0,3.553755595930852e-05,0.99948322
0.0,0.00756398169323802,0.99948124
1.0,9.818162652663887e-05,0.99947926
0.0,8.060002437559888e-05,0.99947728
0.0,0.00763968750834465,0.9994753
0.0,0.00010374238627264276,0.99947332
0.0,0.00011326924141030759,0.99947134
0.0,0.00738742807880044,0.99946936
0.0,0.007333488203585148,0.99946738
1.0,6.57534328638576e-05,0.9994654
0.0,0.00010461533383931965,0.99946342
0.0,0.00760711170732975,0.99946144
0.0,0.00010192776971962303,0.99945946
1.0,6.844259769422933e-05,0.99945748
0.0,7.316218398045748e-05,0.9994555
2.0,7.49903847463429e-05,0.99945352
0.0,6.324802234303206e-05,0.99945154
0.0,4.779684968525544e-05,0.99944956
1.0,7.199864921858534e-05,0.99944758
0.0,4.1043138480745256e-05,0.9994456
0.0,5.8357160014566034e-05,0.99944362
1.0,9.953632252290845e-05,0.99944164
1.0,6.838733679614961e-05,0.99943966
