episode_rewards,losses,eps_history
0.0,0.009881873615086079,1.0
4.0,0.00044845748925581574,0.99999802
0.0,0.001380856498144567,0.99999604
1.0,0.0014142727013677359,0.99999406
4.0,0.009105170145630836,0.99999208
1.0,0.0008111670613288879,0.9999901
2.0,0.0004949039430357516,0.99998812
0.0,0.00019576889462769032,0.99998614
1.0,0.009136542677879333,0.99998416
2.0,0.00881764106452465,0.99998218
0.0,0.0011099749244749546,0.9999802
0.0,0.0008925565634854138,0.99997822
1.0,0.009665288962423801,0.99997624
1.0,0.008605893701314926,0.99997426
0.0,0.0002443559351377189,0.99997228
1.0,0.0003173553559463471,0.9999703
0.0,0.0008022379479371011,0.99996832
0.0,0.0011716951848939061,0.99996634
0.0,0.001093379338271916,0.99996436
2.0,0.0011996672255918384,0.99996238
2.0,0.0154934823513031,0.9999604
0.0,0.0006904497276991606,0.99995842
4.0,0.0006330058677121997,0.99995644
1.0,0.015101258642971516,0.99995446
3.0,0.00022544794774148613,0.99995248
0.0,0.00022779553546570241,0.9999505
0.0,0.00013249317998997867,0.99994852
1.0,0.0001768498041201383,0.99994654
2.0,0.00888103898614645,0.99994456
0.0,0.0009914140682667494,0.99994258
0.0,0.009675347246229649,0.9999406
0.0,0.0008435242925770581,0.99993862
0.0,0.00915787648409605,0.99993664
0.0,0.0005459397798404098,0.99993466
0.0,0.00022307754261419177,0.99993268
0.0,0.006787460763007402,0.9999307
0.0,0.00024222549109254032,0.99992872
0.0,0.0005784796667285264,0.99992674
0.0,0.0010419398313388228,0.99992476
2.0,0.001153392717242241,0.99992278
2.0,0.0011059012031182647,0.9999208
0.0,0.008073262870311737,0.99991882
1.0,0.007718506269156933,0.99991684
2.0,0.0007693070801906288,0.99991486
0.0,0.0005361571675166488,0.99991288
0.0,0.00750779127702117,0.9999109
0.0,0.008079933933913708,0.99990892
1.0,9.825885354075581e-05,0.99990694
1.0,6.424507591873407e-05,0.99990496
2.0,9.363384742755443e-05,0.99990298
0.0,0.00013462666538544,0.999901
0.0,0.008537204936146736,0.99989902
0.0,0.0008405832340940833,0.99989704
0.0,0.0009025390027090907,0.99989506
0.0,0.0008124823798425496,0.99989308
0.0,0.009261959232389927,0.9998911
2.0,0.0005577688571065664,0.99988912
0.0,0.008058929815888405,0.99988714
0.0,0.0003567294916138053,0.99988516
0.0,0.0003180147323291749,0.99988318
0.0,0.00016534711176063865,0.9998812
0.0,0.00018191280832979828,0.99987922
0.0,0.00791542325168848,0.99987724
1.0,0.007188824471086264,0.99987526
1.0,0.00034599981154315174,0.99987328
1.0,0.0010030546691268682,0.9998713
0.0,0.007916511967778206,0.99986932
2.0,0.0083624804392457,0.99986734
0.0,0.007634492125362158,0.99986536
2.0,0.0009556004079058766,0.99986338
0.0,0.0007438165484927595,0.9998614
2.0,0.0005472827469930053,0.99985942
0.0,0.007428743410855532,0.99985744
0.0,0.0073960889130830765,0.99985546
